State,Year,Population,ViolentCrime,Murder,RapeNew,RapeOld,Robbery,Assault,PropertyCrime,Burglary,LarcenyTheft,VehicleTheft
Illinois,2016,12801539,55854.0,1054.0,4908.0,3635.0,17827.0,32065.0,262306.0,47989.0,194407.0,19910.0
Indiana,2015,6612768,25373.0,370.0,2386.0,1757.0,7081.0,15536.0,171878.0,34404.0,123940.0,13534.0
Indiana,2016,6633053,26845.0,439.0,2501.0,1851.0,7330.0,16575.0,171759.0,34097.0,122931.0,14731.0
Michigan,2015,9917715,41712.0,585.0,6710.0,4782.0,7818.0,26599.0,191191.0,40375.0,132019.0,18797.0
Michigan,2016,9928300,45572.0,598.0,7125.0,5114.0,7120.0,30729.0,189620.0,39568.0,129876.0,20176.0
Ohio,2015,11605090,34373.0,522.0,5441.0,3990.0,12617.0,15793.0,303743.0,69994.0,216354.0,17395.0
Ohio,2016,11614373,34877.0,654.0,5589.0,4141.0,12523.0,16111.0,299357.0,66883.0,212807.0,19667.0
Wisconsin,2015,5767891,17549.0,240.0,1805.0,1324.0,5234.0,10270.0,114171.0,19602.0,83572.0,10997.0
Wisconsin,2016,5778708,17679.0,229.0,1979.0,1458.0,4706.0,10765.0,111720.0,19425.0,82337.0,9958.0
Iowa,2015,3121997,8619.0,73.0,1205.0,877.0,1050.0,6291.0,64688.0,14977.0,45328.0,4383.0
Iowa,2016,3134693,9110.0,71.0,1247.0,922.0,1148.0,6644.0,65391.0,15030.0,45378.0,4983.0
Kansas,2015,2906721,11483.0,126.0,1684.0,1226.0,1823.0,7850.0,80059.0,15619.0,57435.0,7005.0
Kansas,2016,2907289,11060.0,111.0,1312.0,971.0,1671.0,7966.0,78367.0,14364.0,57066.0,6937.0
Minnesota,2015,5482435,13319.0,133.0,2321.0,1679.0,3771.0,7094.0,121984.0,19299.0,94704.0,7981.0
Minnesota,2016,5519952,13394.0,101.0,2348.0,1731.0,3728.0,7217.0,117756.0,18606.0,90422.0,8728.0
Missouri,2015,6076204,30292.0,503.0,2573.0,1858.0,6383.0,20833.0,173788.0,34029.0,122749.0,17010.0
Missouri,2016,6093000,31644.0,537.0,2554.0,1884.0,6570.0,21983.0,170549.0,31710.0,120544.0,18295.0
Nebraska,2015,1893765,5167.0,62.0,885.0,648.0,994.0,3226.0,42597.0,6443.0,32148.0,4006.0
Nebraska,2016,1907116,5550.0,49.0,994.0,738.0,946.0,3561.0,43163.0,6444.0,31994.0,4725.0
North Dakota,2015,756835,1949.0,21.0,391.0,285.0,159.0,1378.0,17716.0,3296.0,12686.0,1734.0
North Dakota,2016,757952,1903.0,15.0,342.0,256.0,181.0,1365.0,17402.0,3243.0,12195.0,1964.0
South Dakota,2015,857919,3302.0,33.0,500.0,367.0,215.0,2554.0,16739.0,2969.0,12576.0,1194.0
South Dakota,2016,865454,3621.0,27.0,509.0,379.0,272.0,2813.0,17141.0,3000.0,12639.0,1502.0
Delaware,2015,944076,4760.0,62.0,361.0,257.0,1240.0,3097.0,25545.0,4797.0,19555.0,1193.0
Delaware,2016,952065,4844.0,56.0,308.0,221.0,1359.0,3121.0,26334.0,5023.0,19791.0,1520.0
District of Columbia,2015,670377,8538.0,162.0,494.0,365.0,3746.0,4136.0,31444.0,2971.0,25208.0,3265.0
District of Columbia,2016,681170,8214.0,139.0,532.0,401.0,3480.0,4063.0,32716.0,2361.0,27382.0,2973.0
Florida,2015,20244914,93625.0,1041.0,7552.0,5396.0,21137.0,63895.0,570270.0,109268.0,420341.0,40661.0
Florida,2016,20612439,88700.0,1111.0,7598.0,5528.0,20175.0,59816.0,553812.0,100325.0,410352.0,43135.0
Georgia,2015,10199398,38891.0,622.0,3257.0,2343.0,12545.0,22467.0,316013.0,68149.0,220715.0,27149.0
Georgia,2016,10310371,40990.0,681.0,3509.0,2528.0,12205.0,24595.0,309770.0,63344.0,219625.0,26801.0
Maryland,2015,5994983,28185.0,538.0,1717.0,1209.0,10111.0,15819.0,142547.0,26432.0,102701.0,13414.0
Maryland,2016,6016447,28400.0,481.0,1756.0,1266.0,10289.0,15874.0,137445.0,24692.0,100919.0,11834.0
North Carolina,2015,10035186,34734.0,517.0,2591.0,1886.0,8821.0,22805.0,275915.0,74760.0,187732.0,13423.0
North Carolina,2016,10146788,37769.0,678.0,2849.0,2086.0,9336.0,24906.0,277765.0,72082.0,190377.0,15306.0
South Carolina,2015,4894834,24448.0,407.0,2439.0,1717.0,3950.0,17652.0,162830.0,34942.0,114778.0,13110.0
South Carolina,2016,4961119,24896.0,366.0,2387.0,1711.0,4035.0,18108.0,160928.0,32976.0,114032.0,13920.0
Virginia,2015,8367587,16705.0,390.0,2499.0,1767.0,4459.0,9357.0,157803.0,21542.0,128064.0,8197.0
Virginia,2016,8411808,18302.0,484.0,2737.0,1965.0,4803.0,10278.0,156412.0,20018.0,126606.0,9788.0
West Virginia,2015,1841053,6397.0,85.0,710.0,493.0,783.0,4819.0,38694.0,9467.0,26984.0,2243.0
West Virginia,2016,1831102,6557.0,81.0,657.0,468.0,720.0,5099.0,37487.0,9301.0,25677.0,2509.0
Alabama,2015,4853875,22957.0,348.0,2037.0,1449.0,4612.0,15960.0,144785.0,35265.0,99182.0,10338.0
Alabama,2016,4863300,25886.0,407.0,1916.0,1385.0,4686.0,18877.0,143362.0,34065.0,97574.0,11723.0
Kentucky,2015,4424611,9887.0,219.0,1644.0,1165.0,3314.0,4710.0,97545.0,22526.0,67143.0,7876.0
Kentucky,2016,4436974,10308.0,260.0,1641.0,1174.0,3369.0,5038.0,97158.0,20834.0,66438.0,9886.0
Mississippi,2015,2989390,8190.0,253.0,1158.0,851.0,2312.0,4467.0,85785.0,25068.0,56446.0,4271.0
Mississippi,2016,2988726,8383.0,238.0,1277.0,905.0,2397.0,4471.0,82732.0,23354.0,55054.0,4324.0
Tennessee,2015,6595056,40816.0,418.0,2801.0,2032.0,7499.0,30098.0,196047.0,43753.0,139259.0,13035.0
Tennessee,2016,6651194,42097.0,486.0,2714.0,1991.0,7813.0,31084.0,189835.0,40312.0,134404.0,15119.0
Arkansas,2015,2977853,15769.0,189.0,2008.0,1425.0,2117.0,11455.0,97391.0,22851.0,68720.0,5820.0
Arkansas,2016,2988248,16461.0,216.0,2143.0,1545.0,2120.0,11982.0,97673.0,23771.0,66747.0,7155.0
Louisiana,2015,4668960,25202.0,492.0,1733.0,1246.0,5561.0,17416.0,157708.0,35457.0,112520.0,9731.0
Louisiana,2016,4681666,26502.0,554.0,1816.0,1328.0,5576.0,18556.0,154386.0,34667.0,109380.0,10339.0
Oklahoma,2015,3907414,16746.0,240.0,1953.0,1418.0,3018.0,11535.0,114055.0,28783.0,74678.0,10594.0
Oklahoma,2016,3923561,17648.0,245.0,2039.0,1509.0,3162.0,12202.0,117037.0,29103.0,75779.0,12155.0
Texas,2015,27429639,113193.0,1317.0,12323.0,8941.0,31924.0,67629.0,779234.0,153067.0,558653.0,67514.0
Texas,2016,27862596,121042.0,1478.0,13367.0,9858.0,33317.0,72880.0,768947.0,148740.0,551151.0,69056.0
Arizona,2015,6817565,27968.0,306.0,3109.0,2268.0,6360.0,18193.0,207184.0,38010.0,152388.0,16786.0
Arizona,2016,6931071,32583.0,380.0,3290.0,2452.0,7055.0,21858.0,206432.0,37736.0,150275.0,18421.0
Colorado,2015,5448819,17348.0,173.0,3328.0,2422.0,3315.0,10532.0,144044.0,23490.0,104532.0,16022.0
Colorado,2016,5540545,18983.0,204.0,3555.0,2619.0,3528.0,11696.0,151850.0,23903.0,108336.0,19611.0
Idaho,2015,1652828,3593.0,32.0,703.0,508.0,191.0,2667.0,28912.0,6124.0,20916.0,1872.0
Idaho,2016,1683140,3876.0,49.0,719.0,529.0,213.0,2895.0,29357.0,6318.0,20962.0,2077.0
Montana,2015,1032073,3647.0,38.0,572.0,405.0,210.0,2827.0,27276.0,3887.0,20966.0,2423.0
Montana,2016,1042520,3840.0,36.0,578.0,414.0,266.0,2960.0,27976.0,3934.0,21299.0,2743.0
Nevada,2015,2883758,20118.0,178.0,1688.0,1232.0,6287.0,11965.0,77137.0,22360.0,43426.0,11351.0
Nevada,2016,2940058,19936.0,224.0,1733.0,1292.0,6340.0,11639.0,76047.0,18850.0,44017.0,13180.0
New Mexico,2015,2080328,13672.0,117.0,1663.0,1218.0,2485.0,9407.0,77212.0,17084.0,51485.0,8643.0
New Mexico,2016,2081015,14619.0,139.0,1526.0,1117.0,2737.0,10217.0,81931.0,17281.0,52907.0,11743.0
Utah,2015,2990632,7138.0,57.0,1704.0,1247.0,1329.0,4048.0,89797.0,12606.0,68464.0,8727.0
Utah,2016,3051217,7407.0,72.0,1520.0,1116.0,1541.0,4274.0,90058.0,12836.0,67834.0,9388.0
Wyoming,2015,586555,1300.0,16.0,171.0,124.0,59.0,1054.0,11151.0,1762.0,8797.0,592.0
Wyoming,2016,585501,1430.0,20.0,205.0,150.0,59.0,1146.0,11460.0,1771.0,8889.0,800.0
Alaska,2015,737709,5391.0,59.0,900.0,648.0,761.0,3671.0,20806.0,3511.0,15249.0,2046.0
Alaska,2016,741894,5966.0,52.0,1053.0,757.0,850.0,4011.0,24876.0,4053.0,17766.0,3057.0
California,2015,38993940,166883.0,1861.0,12811.0,9341.0,52862.0,99349.0,1024914.0,197404.0,656517.0,170993.0
California,2016,39250017,174796.0,1930.0,13702.0,10149.0,54789.0,104375.0,1002070.0,188304.0,637010.0,176756.0
Hawaii,2015,1425157,3530.0,29.0,538.0,382.0,1085.0,1878.0,45389.0,6810.0,33140.0,5439.0
Hawaii,2016,1428557,4417.0,35.0,619.0,447.0,994.0,2769.0,42753.0,6017.0,31082.0,5654.0
Oregon,2015,4024634,10680.0,110.0,1650.0,1193.0,2163.0,6757.0,119752.0,18541.0,90514.0,10697.0
Oregon,2016,4093465,10830.0,113.0,1721.0,1261.0,2278.0,6718.0,121345.0,16866.0,91286.0,13193.0
Washington,2015,7160290,20505.0,218.0,2778.0,2006.0,5450.0,12059.0,249474.0,51114.0,171393.0,26967.0
Washington,2016,7288000,22023.0,195.0,3077.0,2259.0,5651.0,13100.0,254653.0,49180.0,173187.0,32286.0
