OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,SHAPE_Length,SHAPE_Area
17,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{EBB0F0F6-8742-43CD-9DFC-DC22C370EDF9},453,REER,Lands - http://landsnet.nps.gov/tractsnet/documents/REER/Metadata/reer_metadata.xml,Reconstruction Era National Historical Park,2024/12/05 00:00:00+00,SC,SE,"2783288",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2249524,Reconstruction Era,5561.37319846462,420912.074620391
18,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{FE852660-FECB-40EE-BCC5-DB88A8BEAF58},10,SAIR,Lands - http://landsnet.nps.gov/tractsnet/documents/SAIR/Metadata/sair_metadata.xml,Saugus Iron Works National Historic Site,2024/10/25 00:00:00+00,MA,NE,"600017",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210711,Saugus Iron Works,2034.61849829326,97270.6334370324
19,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{23DEC464-A894-4925-B88D-10C799C87022},22,SARA,Lands - http://landsnet.nps.gov/tractsnet/documents/SARA/Metadata/sara_metadata.xml,Saratoga National Historical Park,2024/12/16 00:00:00+00,NY,NE,"964487",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215979,Saratoga,40716.7180064823,27128558.904388
20,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{9B7364B0-E55F-439A-9304-7D202D861667},465,TILL,Lands - https://landsnet.nps.gov/tractsnet/documents/TILL/Metadata/till_metadata.xml,Emmett Till and Mamie Till-Mobley National Monument,2024/12/16 00:00:00+00,IL,SE,,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2286726,Emmet TIill AND Mamie Till-Mobley,1336.90465473098,34868.5797298933
21,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{FA8BBE11-D9BC-4A20-BC50-184C2C9E029C},221,VICK,Lands - http://landsnet.nps.gov/tractsnet/documents/VICK/Metadata/vick_metadata.xml,Vicksburg National Military Park,2024/12/16 00:00:00+00,LA,SE,"679217",National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2287212,Vicksburg,69884.0173410092,17491337.0277881
22,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{52CFB48F-2B32-412E-A823-3ABF429CDB6F},281,VOYA,Lands - http://landsnet.nps.gov/tractsnet/documents/VOYA/Metadata/voya_metadata.xml,Voyageurs National Park,2024/12/18 00:00:00+00,MN,MW,"660491",National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224529,Voyageurs,386650.162222054,1882513932.42469
23,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{C73C4E88-0527-402F-9DE4-2EE3B1F61F68},148,GEWA,Lands - http://landsnet.nps.gov/tractsnet/documents/GEWA/Metadata/gewa_metadata.xml,George Washington Birthplace National Monument,2023/09/18 00:00:00+00,VA,NE,"1467038",National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229064,George Washington Birthplace,17002.7551418286,4813776.05692411
24,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{699C26C1-8086-4B7D-BE7F-6A6E30315C88},468,CIBS,Lands - https://landsnet.nps.gov/tractsnet/documents/CIBS/Metadata/cibs_metadata.xml,Carlisle Federal Indian Boarding School National Monument,2024/12/17 00:00:00+00,PA,NE,,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2307263,Carlisle Federal Indian Boarding School,3139.92060521992,171419.819418618
25,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{73B57821-4BA8-4679-9801-16D90F4A01BD},469,FRPE,Lands - https://landsnet.nps.gov/tractsnet/documents/FRPE/Metadata/frpe_metadata.xml,Frances Perkins National Monument,2024/12/17 00:00:00+00,ME,NE,,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2307256,Frances Perkins,3246.75168193514,452057.320647198
26,2025/01/14 11:11:09+00,NPS_WASO_LANDS,2025/01/14 11:11:09+00,NPS_WASO_LANDS,{20DAAD5A-A045-44CC-970D-436EE26360F6},277,MISS,Lands - http://landsnet.nps.gov/tractsnet/documents/MISS/Metadata/miss_metadata.xml,Mississippi National River and Recreation Area,2024/12/16 00:00:00+00,MN,MW,"1888944",National River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2253817,Mississippi,379486.884586062,433602418.450558
27,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{0E1B06BF-9F40-4572-9D17-BF7D56348653},1,BOST,Lands - http://landsnet.nps.gov/tractsnet/documents/BOST/Metadata/bost_metadata.xml,Boston National Historical Park,2015/02/09 00:00:00+00,MA,NE,"600140",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221816,Boston,7018.5607701382,325688.165998331
28,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{57641CAD-CB1F-49EB-ACA7-E1B5FAC72B93},2,MAVA,Lands - http://landsnet.nps.gov/tractsnet/documents/MAVA/Metadata/mava_metadata.xml,Martin Van Buren National Historic Site,2012/07/18 00:00:00+00,NY,NE,"1888943",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188828,Martin Van Buren,11384.9702511987,2202209.61402605
29,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{3640C4E4-5BEA-439E-AC15-1375D8F1EEFB},3,SPAR,Lands - http://landsnet.nps.gov/tractsnet/documents/SPAR/Metadata/spar_metadata.xml,Springfield Armory National Historic Site,2011/10/18 00:00:00+00,MA,NE,"1888963",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180629,Springfield Armory,2507.49256607132,396708.946642827
30,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{1D78E4D3-C399-400D-A677-4F42B22D14D8},4,ACAD,Unofficial Boundary of Acadia National Park.,Acadia National Park,2013/12/18 00:00:00+00,ME,NE,"578853",National Park,Park,Preliminary data. Contact the Land Resources Program for additional information.,Acadia,541137.318066783,274779310.818508
31,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{4D07030B-FD4B-4450-A42E-5C41B069D78F},5,SACR,Lands - http://landsnet.nps.gov/tractsnet/documents/SACR/Metadata/sacr_metadata.xml,Saint Croix Island International Historic Site,2016/06/20 00:00:00+00,ME,NE,"581971",International Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230262,Saint Croix Island,987.300011783059,54060.7289578572
32,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{7D107DFE-F345-499F-80A9-E65EB615A51B},6,ADAM,Lands - http://landsnet.nps.gov/tractsnet/documents/ADAM/Metadata/adam_metadata.xml,Adams National Historical Park,2009/06/05 00:00:00+00,MA,NE,"1888899",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048140,Adams,2163.81488530874,100799.851989345
33,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{ED56F11B-8D27-4DAF-98C3-6302F2BB2F60},7,JOFI,Lands - http://landsnet.nps.gov/tractsnet/documents/JOFI/Metadata/jofi_metadata.xml,John Fitzgerald Kennedy National Historic Site,2010/10/28 00:00:00+00,MA,NE,"607138",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171834,John F Kennedy,104.182277426202,644.639845812889
34,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{E51CFD90-B8FC-43D6-90BF-B7534305061C},8,MIMA,Lands - http://landsnet.nps.gov/tractsnet/documents/MIMA/Metadata/mima_metadata.xml,Minute Man National Historical Park,2018/02/22 00:00:00+00,MA,NE,"600051",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2167740,Minute Man,36417.1256415073,7614108.74646694
35,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{60ED98B7-B6A3-40F9-9F16-DBD355BFE3F4},9,SAMA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAMA/Metadata/sama_metadata.xml,Salem Maritime National Historic Site,2010/03/25 00:00:00+00,MA,NE,"1888961",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1049237,Salem Maritime,3446.50944258188,70391.6053794402
36,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{1163DA95-EC7B-4028-9532-0BE481697C36},11,CACO,Lands - http://landsnet.nps.gov/tractsnet/documents/CACO/Metadata/caco_metadata.xml,Cape Cod National Seashore,2024/09/19 00:00:00+00,MA,NE,"606900",National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229062,Cape Cod,261994.388966605,324147362.222204
37,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{E6E9D5D7-321F-4FF3-8F47-364CA22011B9},12,ELRO,Lands - http://landsnet.nps.gov/tractsnet/documents/ELRO/Metadata/elro_metadata.xml,Eleanor Roosevelt National Historic Site,2011/04/22 00:00:00+00,NY,NE,"1888914",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171829,Eleanor Roosevelt,5804.85030141976,1291438.34728183
38,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{D7E3D298-73D6-490C-98E9-DB8675FCCBF7},13,LONG,Lands - http://landsnet.nps.gov/tractsnet/documents/LONG/Metadata/long_metadata.xml,Longfellow House-Washington's Headquarters National Historic Site,2011/04/18 00:00:00+00,MA,NE,"2733437",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180626,Longfellow,488.006767951491,14414.0067431454
39,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{2E6FF336-169B-4998-821F-F7F771AABB21},15,GATE,Lands - http://landsnet.nps.gov/tractsnet/documents/GATE/Metadata/gate_metadata.xml,Gateway National Recreation Area,2024/06/14 00:00:00+00,NJ,NE,"882894",National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225694,Gateway,146323.624034658,190486949.469045
40,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{6323BE8D-04BC-4A30-ACB5-CF859137FD42},16,SAPA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAPA/Metadata/sapa_metadata.xml,Saint Paul's Church National Historic Site,2007/02/09 00:00:00+00,NY,NE,"1888959",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048042,Saint Paul's Church,866.346505661578,43929.1967522087
41,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{88F774C0-A2DB-4C11-9A57-56EC70A681E4},17,THRI,Lands - http://landsnet.nps.gov/tractsnet/documents/THRI/Metadata/thri_metadata.xml,Theodore Roosevelt Inaugural National Historic Site,2015/08/28 00:00:00+00,NY,NE,"2035603",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224527,Theodore Roosevelt Inaugural,431.649729196901,8874.4484265805
42,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{32B096AB-2945-46E2-8A4C-940BDFA45039},18,FOST,Lands - http://landsnet.nps.gov/tractsnet/documents/FOST/Metadata/fost_metadata.xml,Fort Stanwix National Monument,2010/07/08 00:00:00+00,NY,NE,"1888919",National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165601,Fort Stanwix,1435.74019758755,127551.029551123
43,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{607F0477-DB4D-4A6A-9FF2-C87F8C206ADF},19,FIIS,Unofficial Boundary of Fire Island National Seashore.,Fire Island National Seashore,2013/12/18 00:00:00+00,NY,NE,"970121",National Seashore,Region,Preliminary data. Contact the Land Resources Program for additional information.,Fire Island,140263.573378074,138877039.096375
44,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{A97019E9-2870-4EA9-AA31-4FC0692B1D1D},20,HOFR,Lands - http://landsnet.nps.gov/tractsnet/documents/HOFR/Metadata/hofr_metadata.xml,Home of Franklin D. Roosevelt National Historic Site,2006/03/07 00:00:00+00,NY,NE,"1888929",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047983,Home of Franklin D Roosevelt,19536.1432849485,6542741.7277879
45,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{CBF91AB7-BE2A-4540-87EB-90834CEE97CF},21,VAMA,Lands - http://landsnet.nps.gov/tractsnet/documents/VAMA/Metadata/vama_metadata.xml,Vanderbilt Mansion National Historic Site,2015/07/24 00:00:00+00,NY,NE,"968452",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224528,Vanderbilt Mansion,8133.1144305161,1534826.24550613
46,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{477549E5-173D-4946-BE60-ABC6BA3AA407},23,SAGA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAGA/Metadata/saga_metadata.xml,Saint-Gaudens National Historical Park,2011/03/09 00:00:00+00,NH,NE,"1888960",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171112,Saint-Gaudens,13228.9794194975,1449351.99017465
47,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{B3EF5C21-3536-407F-A8A7-2AA62FBC0514},24,STLI,Lands - http://landsnet.nps.gov/tractsnet/documents/STLI/Metadata/stli_metadata.xml,Statue of Liberty National Monument,2016/05/06 00:00:00+00,NJ,NE,"880864",National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230266,Statue Of Liberty,4452.45628817951,486582.465136086
48,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{BFEE4838-CDD8-408C-8FE6-84446A197962},25,EDIS,Lands - http://landsnet.nps.gov/tractsnet/documents/EDIS/Metadata/edis_metadata.xml,Thomas Edison National Historical Park,2008/04/22 00:00:00+00,NJ,NE,"874901",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048152,Thomas Edison,2565.21877758081,147844.265782115
49,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{9FC8987F-9383-4396-BDCE-D7628B91C337},26,MORR,Lands - http://landsnet.nps.gov/tractsnet/documents/MORR/Metadata/morr_metadata.xml,Morristown National Historical Park,2012/02/23 00:00:00+00,NJ,NE,"878495",National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188829,Morristown,35698.864349582,11942535.1342989
50,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{E5393A12-97EC-4D8A-9C3D-BD95A4D83BC6},27,THRB,Lands - http://landsnet.nps.gov/tractsnet/documents/THRB/Metadata/thrb_metadata.xml,Theodore Roosevelt Birthplace National Historic Site,2011/03/28 00:00:00+00,NY,NE,"2083047",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171836,Theodore Roosevelt Birthplace,114.339082713672,745.141651569712
51,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{3EB1ADC9-E676-439C-AB10-0A3385699F1F},28,CACL,Lands - http://landsnet.nps.gov/tractsnet/documents/CACL/Metadata/cacl_metadata.xml,Castle Clinton National Monument,2007/02/16 00:00:00+00,NY,NE,"945983",National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047919,Castle Clinton,351.834346532362,8988.78823094285
52,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{79827948-9E07-4253-80DA-646DE9740E9B},29,FEHA,Lands - http://landsnet.nps.gov/tractsnet/documents/FEHA/Metadata/feha_metadata.xml,Federal Hall National Memorial,2017/03/30 00:00:00+00,NY,NE,"2057537",National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210702,Federal Hall,256.848961343479,3743.23531765569
53,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{2BD87625-AA7C-4379-A526-011FA7511213},30,GEGR,Lands - http://landsnet.nps.gov/tractsnet/documents/GEGR/Metadata/gegr_metadata.xml,General Grant National Memorial,2013/07/22 00:00:00+00,NY,NE,"2733424",National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221818,General Grant,299.132817912841,5124.71751194554
54,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{A6CC38EA-3941-46A6-9CA4-834BE23720DB},31,HAGR,Lands - http://landsnet.nps.gov/tractsnet/documents/HAGR/Metadata/hagr_metadata.xml,Hamilton Grange National Memorial,2016/03/28 00:00:00+00,NY,NE,"2083660",National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047980,Hamilton Grange,763.259575017608,12400.3875630929
55,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{09D38498-C6A6-482B-9881-59546AFDA421},32,SAHI,Lands - http://landsnet.nps.gov/tractsnet/documents/SAHI/Metadata/sahi_metadata.xml,Sagamore Hill National Historic Site,2011/07/29 00:00:00+00,NY,NE,"970557",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175728,Sagamore Hill,6137.98933299429,586867.933638628
56,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{364F6BFD-2936-47D7-97DF-B06EF20C35AD},33,BOAF,Lands - http://landsnet.nps.gov/tractsnet/documents/BOAF/Metadata/boaf_metadata.xml,Boston African American National Historic Site,2009/03/12 00:00:00+00,MA,NE,"1888904",National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048143,Boston African American,852.333596740252,4361.29636998808
57,2025/01/14 11:11:11+00,NPS_WASO_LANDS,2025/01/14 11:11:11+00,NPS_WASO_LANDS,{F9E312A0-EF08-445B-8F74-B3E4E1D288F5},34,BOHA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOHA/Metadata/boha_metadata.xml,Boston Harbor Islands National Recreation Area,2022/11/23 09:50:36+00,MA,NE,"606990",National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047911,Boston Harbor Islands,116291.54672675,16461881.358906
